[INFO ] 2019-11-02T08:31:22,761 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:22,896 [pool-1-thread-1] RPCClient - Startup took 133 msec
[INFO ] 2019-11-02T08:31:25,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:25,479 [pool-1-thread-1] RPCClient - Startup took 160 msec
[INFO ] 2019-11-02T08:31:25,753 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:25,878 [pool-1-thread-1] RPCClient - Startup took 124 msec
[INFO ] 2019-11-02T08:31:28,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:28,440 [pool-1-thread-1] RPCClient - Startup took 121 msec
[INFO ] 2019-11-02T08:31:28,927 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:29,048 [pool-1-thread-1] RPCClient - Startup took 120 msec
[INFO ] 2019-11-02T08:31:31,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:31,438 [pool-1-thread-1] RPCClient - Startup took 120 msec
[INFO ] 2019-11-02T08:31:31,717 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:31,839 [pool-1-thread-1] RPCClient - Startup took 120 msec
[INFO ] 2019-11-02T08:31:34,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:34,460 [pool-1-thread-1] RPCClient - Startup took 142 msec
[INFO ] 2019-11-02T08:31:34,757 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
[INFO ] 2019-11-02T08:31:34,880 [pool-1-thread-1] RPCClient - Startup took 122 msec
[INFO ] 2019-11-02T08:31:37,317 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10006
[INFO ] 2019-11-02T08:31:37,467 [pool-1-thread-1] RPCClient - Startup took 149 msec
[INFO ] 2019-11-02T08:31:37,742 [pool-1-thread-1] ReconnectingCordaRPCOps - Connecting to: localhost:10009
